"company","title"
electroCore,"electroCore to Participate at the Canaccord Genuity MedTech, Diagnostics and Digital Health & Services Forum on November 21"
Biora Therapeutics,Biora Therapeutics Provides Corporate Update and Reports Third Quarter 2024 Financial Results
Windtree Therapeutics,Windtree Announces Leadership Transition Plan With Industry Veterans
Annexon Biosciences,"Annexon Reports Third Quarter 2024 Portfolio and Financial Results, and Key Anticipated Milestones"
Humacyte,Humacyte Announces Pricing of $15.0 Million Registered Direct Offering
CRISPR Therapeutics,CRISPR Therapeutics to Present at the Jefferies London Healthcare Conference
Immutep,Immutep’s Efti Shows Excellent Survival Data from INSIGHT-003 Trial in Non-Small Cell Lung Cancer
Immutep,Positive Data from Phase II Trial in Soft Tissue Sarcoma Presented at CTOS 2024 Annual Meeting
Candel Therapeutics,Candel Therapeutics Reports Third Quarter 2024 Financial Results and Recent Corporate Highlights
X4 Pharmaceuticals,X4 Pharmaceuticals to Participate in the Stifel 2024 Healthcare Conference
StockRate Invest Globale Aktier,Investeringsforeningen StockRate Invest – Prospekt
"",Allarity Therapeutics Reports Third Quarter 2024 Financial Results and Provides Recent Operational Highlights
Gabriel Holding A/S,Regnskabsaflæggelse og generalforsamling for 2023/24 udskydes. Forventninger til regnskabsåret 2024/25 for den fortsættende forretning offentliggøres.
Gabriel Holding A/S,Financial reporting and general meeting for 2023/24 are postponed. Expectations for the continuing operations in the 2024/25 financial year are published.
Oma Säästöpankki Oyj,S&P Global Ratings päivittää Oma Säästöpankki Oyj:n luottoluokitusta ja näkymää
Oma Säästöpankki Oyj,S&P Global Ratings updates Oma Savings Bank Plc's credit rating and outlook
Telia Lietuva,Telia Lietuva reporting dates in 2025
Telia Lietuva,„Telia Lietuva“ veiklos rezultatų skelbimo 2025 m. datos
"",NORBIT - Mandatory notification of trade
NEO Finance,"NEO Finance, AB and a partner are building a EUR 2.4 million investment portfolio for consumer loans."
-,Euronext Oslo Børs – Vestby kommune - Mottatt søknad om notering av obligasjonslån
-,GKN Hoeganaes soutient First Phosphate dans le développement de matériaux actifs pour cathodes LFP
MEDISTIM,Correction and Agenda for Medistim Capital Markets Day
Skagerrak Sparebank,Ny rente
SpareBank 1 Nord-Norge,Ny rente
Opdals Sparebank,Rentefastsettelse
Høland og Setskog Sparebank,Rentefastsettelse
Sparebank 68 grader nord,Rentefastsettelse
Bjugn Sparebank,Rentefastsettelse
SpareBank 1 Østlandet,Rentefastsettelse
Pacira BioSciences,Pacira Announces 104-Week Safety and Efficacy Data Following Local Administration of PCRX-201 for Moderate to Severe Osteoarthritis of the Knee
SpareBank 1 Sør-Norge ASA,Rentefastsettelse
SpareBank 1 Østfold Akershus,Rentefastsettelse
SpareBank 1 Sogn og Fjordane,Rentefastsettelse
Sparebanken Øst,Rentefastsettelse
FACEPHI,Communication operations of Members of the Board
Fana Sparebank,Rentefastsettelse
SpareBank 1 Nord-Norge,Rentefastsettelse
Sparebanken Vest,Rentefastsettelse
Tinn Sparebank,Rentefastsettelse
Romsdal Sparebank,Rentefastsettelse
Sparebanken Møre,Rentefastsettelse
SpareBank 1 Østlandet,Rentefastsettelse
NORDEN,Notification of managers' and closely related parties' transactions with Dampskibsselskabet NORDEN A/S' shares in connection with share buy-back program
VAN DE VELDE,VAN DE VELDE : inkoop eigen aandelen
OBOS-banken AS,Rentefastsettelse
Skue Sparebank,Rentefastsettelse
Sparebank 68 grader nord,Rentefastsettelse
SpareBank 1 Ringerike Hadeland,Rentefastsettelse
Sparebanken Sør,Rentefastsettelse
Entra ASA,Rentefastsettelse
BioArctic AB,CHMP issues positive recommendation for approval of lecanemab in the EU
NEO Finance,"NEO Finance, AB and a partner are building a EUR 2.4 million investment portfolio for consumer loans. "
Lánamál ríkisins,Treasury Bill Auction Announcement - RIKV 25 0219 - RIKV 25 0521
Xvivo Perfusion AB,XVIVO Perfusion appoints Lena Hagman as deputy CEO
SynAct Pharma AB,SynAct Pharma presents positive clinical data on resomelagon (AP1189) supporting development for the treatment of RA at ACR Convergence
Minesto AB,"Minesto presents at global climate change meeting COP29 in Baku, Azerbaijan"
"",Treasury Bill Auction Announcement - RIKV 25 0219 - RIKV 25 0521
"",Tilkynning um útboð ríkisvíxla - RIKV 25 0219 - RIKV 25 0521
Coop Pank,Coop Pank AS received an additional license for issuing covered bonds
GENTOO MEDIA INC.,Gentoo Media - Mandatory notification of trade
Kvinesdal Sparebank,Kvinesdal Sparebank Delårsrapport 3.kvartal 2024
EMOVA GROUP,EMOVA GROUP - Volume d\'affaires T4 2023-24
KERING,Kering: Bond issue for a total amount of EUR 750 million
VAN DE VELDE,VAN DE VELDE : acquisition of treasury shares
VOLTALIA,New agreement to repower Egypt’s Zafarana wind farm with a three- gigawatt wind-and-solar project
OXURION,Oxurion Receives Transparency Notification from Atlas Special Opportunities LLC
SPINEWAY,Spineway : a week dedicated to medical excellence with more than 20 surgeons trained
MEDESIS PHARMA S.A.,MEDESIS PHARMA : CONVERSION DE LA PROCÉDURE DE SAUVEGARDE EN REDRESSEMENT JUDICIAIRE
M.R.M,Financial information for the first nine months of 2024
METAVISIO (THOMSON COMPUTING),Metavisio: Convoction des actionnaires en AGE le 19 12 2024
KERING,Kering : Émission d'un emprunt obligataire pour un montant total de 750 millions d'euros
BASTIDE LE CONFORT,"Croissance organique de +9,0% au 1er trimestre 2024-25 : Prestations de santé à domicile en hausse de +10,9% et rebond du maintien à domicile à +6,0% / Finalisation de la cession de l'activité commerciale en Suisse et objectifs 2024-2025 confirmés"
VOLTALIA,Nouvel accord pour le repowering du parc éolien égyptien de Zafarana avec un projet éolien et solaire de trois gigawatts
SPINEWAY,SPINEWAY : une semaine au service de l'Excellence Médicale avec plus de 20 chirurgiens formés
OXURION,Oxurion ontvangt transparantiekennisgeving van Atlas Special Opportunities LLC
M.R.M,Informations financières des neuf premiers mois 2024
FORSEE POWER,Forsee Power : Informations relatives au nombre de droits de vote et d’actions prévues par l’article L. 233-8 II du Code de commerce et l’article 223-16 du Règlement général de l’Autorité des Marchés Financiers (AMF)
Melhus Sparebank,Delårsregnskap 3.kvartal 2024
BASTIDE LE CONFORT,"Highly dynamic organic growth in Q1 2024-25 at 9.0% : 10.9% growth in home healthcare services and rebound in the homecare business, up 6.0% / Disposal of Swiss commercial business finalized and 2024-2025 targets confirmed"
TECO 2030,TECO 2030 ASA - Bankruptcy Petition Filed Against Subsidiary
CENERGY,Conférence téléphonique portant sur les résultats financiers du troisième trimestre 2024 destinée aux investisseurs et analystes
CENERGY,Trading Update Q3 2024 Conference Call for investors and analysts
BONDUELLE,Bonduelle - Assemblée générale mixte du 5 décembre 2024 : Modalités de mise à disposition des documents préparatoires
STEF,STEF : Droits de vote au 31-10-2024
FORSEE POWER,Forsee Power and Infinitev Establish Partnership for Maintenance and Recycling of Transport Batteries in Australia
AKWEL,AKWEL : Nombre de droits de votes et d'actions au 31.10.2024
SANOFI,Communiqué de presse : Sarclisa : approbation recommandée par le CHMP dans l’UE pour le traitement du myélome multiple nouvellement diagnostiqué non éligible à une greffe
TOUAX,Touax: Increase of the activity level as of end-September 2024
BONDUELLE,"Bonduelle - Combined General Meeting of December 5, 2024: Statement of availibilty of documents"
FORSEE POWER,Forsee Power et Infinitev établissent un partenariat pour la maintenance et le recyclage des batteries de transport en Australie
CASINO GUICHARD,Groupe Casino - Nombre de droits de vote et d'actions 31-10-2024
AMUNDI,Amundi acquiert aixigo pour accélérer le déploiement de solutions technologiques auprès des distributeurs de produits d’épargne
AMUNDI,Amundi acquires aixigo to accelerate the deployment of technological solutions to distributors of savings products
BEWI,BEWI ASA - Mandatory notification of trade by close associate of primary insider
SANOFI,Press Release: Sarclisa recommended for EU approval by the CHMP to treat transplant-ineligible newly diagnosed multiple myeloma
HUDDLESTOCK FINTECH,Invitation to third quarter 2024 presentation and Q&A
ELIS,Elis : Augmentation de capital réservée aux salariés 2024
NEXTENSA,Nextensa: RÉSULTATS Q3 2024
AGEAS,Ageas en Amundi SA: Transparantiekennisgeving
Cargotec Oyj,Inside information: Cargotec sells MacGregor business to funds managed by Triton for an enterprise value of EUR 480 million to support Hiab’s future growth
AGEAS,Ageas and Amundi SA: Transparency notification
ELIS,Elis: Share capital increase reserved for employees Elis for All 2024
NEXTENSA,Nextensa: Q3 RESULTATEN 2024
NEXTENSA,Nextensa: Q3 RESULTS 2024
Clean Motion AB,Clean Motion AB delårsredogörelse för januari-september 2024
AGEAS,Ageas et Amundi SA: Notification de transparence
NEOEN,Neoen wins 164 MWp of solar projects in France
NEOEN,Neoen remporte 164 MWc de projets solaires en France
ECIT AS B-AKSJER,ECIT AS: Minutes from extraordinary general meeting
Gentoo Media Inc.,Gentoo Media - Mandatory notification of trade
Cargotec,Inside information: Cargotec sells MacGregor business to funds managed by Triton for an enterprise value of EUR 480 million to support Hiab's future growth 
Coop Pank,Coop Pank AS received an additional license for issuing covered bonds
Fondia Oyj,Fondia Plc: Share repurchase 14.11.2024
Robit Oyj,ROBIT PLC: Share repurchase 14.11.2024
Ziccum AB,Ziccum has appointed a nomination committee for the 2025 annual general meeting
BEWI ASA,BEWI ASA - Mandatory notification of trade by close associate of primary insider
Noble Corporation plc,Noble Corporation plc announces submission of request for removal from trading and official listing on Nasdaq Copenhagen
BeammWave AB,BeammWave's Interim Report for the period January-September 2024
Alma Media,Alma Media Corporation: Share repurchase 14.11.2024
Alexandria Group Oyj,ALEXANDRIA GROUP OYJ: ACQUISITION OF OWN SHARES 14.11.2024
Tamtron Group Oyj,Tamtron Group Plc: Share repurchase 14.11.2024
Sanoma Oyj,SANOMA CORPORATION: ACQUISITION OF OWN SHARES 14 November 2024
Coop Pank,Coop Pank AS received an additional license for issuing covered bonds
Coop Pank,Coop Pank AS sai täiendava tegevusloa pandikirjade väljastamiseks
Cargotec Oyj,Sisäpiiritieto: Cargotec myy MacGregor-liiketoiminnan Tritonin hallinnoimille rahastoille 480 miljoonan euron velattomalla kauppahinnalla tukeakseen Hiabin tulevaa kasvua
Kalmar Oyj B,Kalmar Corporation: Share Repurchase 14.11.2024
Kalmar Oyj B,KALMAR OYJ: OMIEN OSAKKEIDEN HANKINTA 14.11.2024
"",SANOMA CORPORATION: ACQUISITION OF OWN SHARES 14 November 2024
"",SANOMA OYJ: OMIEN OSAKKEIDEN HANKINTA 14.11.2024
PATRIMOINE ET COMM,PATRIMOINE ET COMMERCE: Descriptif du programme de rachat d’actions autorisé par l’AGM des actionnaires du 13 juin 2024 et lancement d’un programme de rachat d’actions en vue de leur annulation
ABIONYX PHARMA,ABIONYX Pharma fait le point sur son activité et sa position de trésorerie du 3ème trimestre 2024
ABIONYX PHARMA,ABIONYX Pharma Provides an Update on Its Business and Cash Position for the Third Quarter of 2024
STAINLESS TANKERS ASA,Stainless Tankers - Mandatory notification of trade
STAINLESS TANKERS ASA,Stainless Tankers - Mandatory notification of trade
GREENVOLT  ENERGIAS RENOVAVEIS S.A.,"Greenvolt - Energias Renováveis, S.A. informa sobre participação qualificada (correcção ao comunicado divulgado no dia 29 de Outubro de 2024)"
VERGNET,Vergnet annonce la signature de plusieurs protocoles d'accord pour la résolution de contentieux
ROBERTET,EVOLUTION DE L'ACTIONNARIAT DE ROBERTET
FERM.CASINO MUNICIPAL CANNES,Communiqué de presse - Résultats annuels - Exercice clos le 31 octobre 2024
EVS BROADC.EQUIPM.,EVS Q3 2024 business update
EVS BROADC.EQUIPM.,Point sur résultats de l’activité du 3ème trimestre 2024 d’EVS
Verve Group SE,   Verve Group SE announces that the total number of shares of the company increases following the issuance of new shares to service parts of the employee stock option program
Omda AS,Transactions carried out under the share buy-back programme
BE Semiconductor Industries N.V.,Press Release BE Semiconductor Industries N.V.
BIOFISH HOLDING AS,Financial calendar
Romsdal Sparebank,Styrene i Romsdal Sparebank og Sunndal Sparebank foreslår at bankene slår seg sammen
Sunndal Sparebank,Sunndal Sparebank - Styrene i Sunndal Sparebank og Romsdal Sparebank foreslår at bankene slår seg sammen
SHELL PLC,Transaction in Own Shares
NORDIC AQUA PARTNERS AS,Nordic Aqua Partners AS - Final result of the Subsequent Offering
"Kinnevik, Investment AB","The Chair of the Board James Anderson will not stand for re-election in 2025, and the Nomination Committee proposes two new directors to the Kinnevik Board"
ExpreS2ion Biotech Holding AB,ExpreS2ion announces TO 10 warrant exercise price and start of exercise period
Nilfisk Holding A/S,Nilfisk Q3 2024 Interim Report: Organic revenue growth of -0.8% and continued gross margin improvement and EBITDA margin before special items of 12.6%
Nilfisk Holding A/S,Nilfisk removes two financial targets for 2026
Nilfisk Holding A/S,Nilfisk Q3 2024 Interim Report: Organic revenue growth of -0.8% and continued gross margin improvement and EBITDA margin before special items of 12.6%
Nilfisk Holding A/S,Nilfisk removes two financial targets for 2026
ABIVAX,Abivax presents third quarter 2024 key financial information
ABIVAX,Abivax présente les principales informations financières du troisième trimestre 2024
NORDEA BANK,Nordea Bank Abp: Repurchase of own shares on 14.11.2024
Nordea Bank Abp,Nordea Bank Abp: Repurchase of own shares on 14.11.2024
Nokia,Nokia Corporation: Repurchase of own shares on 14.11.2024
Fortress Biotech,Fortress Biotech Reports Third Quarter 2024 Financial Results and Recent Corporate Highlights
T2 Biosystems,T2 Biosystems Announces Third Quarter 2024 Financial Results
Kronos Bio,Kronos Bio Highlights Preclinical Data that Show p300 KAT Inhibitors Reduce Inflammation in an Oral Presentation at ACR Convergence 2024
Akoya Biosciences,Akoya Biosciences Reports Third Quarter 2024 Financial Results
Nokia Corporation,Nokia Corporation: Repurchase of own shares on 14.11.2024
Nokia Corporation,Nokia Oyj: Omien osakkeiden takaisinosto 14.11.2024
"",FRO – Notice of Annual General Meeting 2024
TECO 2030,TECO 2030 ASA - Bankruptcy Petition Filed Against the Company
HEXAGON PURUS ASA,Mandatory Notification of Trade by Primary Insider
FRONTLINE PLC,FRO - Notice of Annual General Meeting 2024
COOL COMPANY LTD.,Cool Company Ltd. Announces Third Quarter 2024 Earnings Release Date
Ziccum AB,The board of directors of Ziccum has resolved on a previously announced rights issue of units of approximately SEK 30 million
"",Mandatory Notification of Trade by Primary Insider
AFRICA ENERGY CORP.,Africa Energy Announces Third Quarter 2024 Results
Konsolidator A/S,Konsolidator releases new app within Business Central
MediciNova,MediciNova Receives Notice of Allowance from United States Patent and Trademark Office for New Patent Covering MN-001 for Triglyceride Synthesis in the Liver
SHELF DRILLING,Shelf Drilling Primary Insider Notification
SHELF DRILLING,Shelf Drilling Share Capital Increase
OKEANIS ECO TANKERS,Okeanis Eco Tankers Corp. – Ex Dividend Date
-,Trade Republic a versé plus d’un milliard d’euros d’intérêts à ses clients.
-,Trade Republic has passed on more than 1 billion euro in interest to its customers.
TECHSTEP,Techstep ASA: Q3 2024 results
KONGSBERG AUTOMOTIVE,Kongsberg Automotive wins a contract extension worth over EUR 21.5 million in estimated lifetime revenue
MARTINS-S.G.P.S. SA(JERONIMO),"Jerónimo Martins - SGPS, SA informa sobre Relatório e Contas do Primeiro Trimestre 2025"
PROXIMAR SEAFOOD AS,Proximar Seafood AS: An additional JPY 300 million (approx. NOK 22 million) in bank loan facility agreed
HOEGH AUTOLINERS ASA,Höegh Autoliners renews multiyear contracts with major international car producer
SANOFI,Press Release: Dupixent sBLA accepted for FDA review for the treatment of chronic spontaneous urticaria
RANA GRUBER ASA,Rana Gruber ASA – Ex dividend NOK 1.45 today
AF GRUPPEN,Høy aktivitet og resultatforbedring i 3. kvartal
STANDARD SUPPLY AS,STSU – THIRD QUARTER 2024 financial results
SANOFI,Communiqué de presse : La FDA a accepté l’examen de la sBLA pour le Dupixent dans le traitement de l’urticaire chronique spontanée
HORISONT ENERGI AS,Horisont Energi Q3 2024: Progressing the commercial processes and the strategic review
AEGON,Aegon trading update for third quarter 2024
AF GRUPPEN,High activity and improved performance in Q3
Infront AS 21/26 FRN EUR FLOOR C,Infront publishes its Q3 2024 report
DESERT CONTROL AS,Desert Control Releases Q3 2024 Report and Year-to-Date Company Update
CHRISTIAN DIOR,Christian Dior : Information mensuelle relative au nombre total de droits de vote et d’actions composant le capital social
Mowi ASA,Mowi ASA: Ex-dividend NOK 1.50 today
Mowi ASA,"Mowi ASA: Eks. utbytte NOK 1,50 i dag"
Pohjolan Voima Oyj,Notice of Voluntary Total Redemption of unsecured notes due 20 January 2025
Tokmanni Group Oyj,Tokmanni Group's Business Review for January-September 2024: Revenue increased and EBIT improved in the third quarter
Besqab AB(publ),Besqab's interim report for January - September 2024 shows a stable third quarter with increased sales and improved results
Cantargia AB,Cantargia publishes interim report for third quarter 2024
Tokmanni Group Oyj,The Board of Directors of Tokmanni Group Corporation has decided on the payment of dividend
"",Mowi ASA: Ex-dividend NOK 1.50 today
"","Mowi ASA: Eks. utbytte NOK 1,50 i dag"
Eleving Group,Stabilisation transactions with Eleving Group shares from 12.11.2024 to 14.11.2024
Enefit Green,Enefit Green production data - October 2024
Longo Group,Recording of the AS Longo Group webinar on public bond offering
Attīstības finanšu institūcija Altum,JSC Development Finance Institution Altum operational volumes for nine months period ending 30 September 2024
BE Semiconductor Industries N.V.,BE Semiconductor Industries N.V. Announces Transactions Under Share Repurchase Program
Novaturas,"Preliminary October results of Novaturas: 5% increase in revenue, continued growth in load factor"
Coffee Address Holding,Coffee Address Group unaudited Consolidated Interim Financial Statements for period ended 30 September 2024
Trøndelag Sparebank,Trøndelag Sparebank-Delårsrapport 3.kvartal 2024
TECO 2030,TECO 2030 ASA is placed in Recovery Box
BEERENBERG AS,Correction: Third Quarter Results 2024
-,Air Liquide to Invest in Hydrogen Supply Chain to Support the Acceleration of Low-carbon Mobility along the Seine Axis (France)
AIR LIQUIDE(L-),Air Liquide investit dans la chaîne logistique hydrogène pour accompagner l’accélération de la mobilité décarbonée sur l’Axe Seine
Spareskillingsbanken,Spareskillingsbanken - Delårsrapport 3. kvartal 2024
ODFJELL DRILLING,Odfjell Drilling Ltd. – Ex Dividend Q3 2024
Sparebanken Møre,Sparebanken Møre – Buyback of Equity Certificates
Sparebanken Møre,Sparebanken Møre – Tilbakekjøp av egne egenkapitalbevis
Axactor ASA,Axactor ASA: Moody's changes Axactor’s credit Rating
DOLFINES,Dolfines SA-Constatation de l'augmentation de Capital
Pandion Energy AS 22/26 9.75pct USD C,Q3 2024 Pandion Energy AS
SpareBank 1 Ringerike Hadeland,Meldepliktig handel for primærinnsidere
ECIT AS B-AKSJER,OSLO BØRS – TRADING SUSPENSION
PROSAFE,Prosafe SE: Shareholding disclosure
WORLDLINE,WORLDLINE : AG 2025 - Approbation de l'ensemble des résolutions
Mutares SE & Co. K 23/27 FRN EUR FLOOR C,Sixteenth acquisition in 2024: Mutares signed an agreement to acquire VR Road Logistics from VR Group
AF GRUPPEN,Presentasjon av rapporten for 3. kvartal 2024
BEKAERT,Bekaert - Mise à jour relative au Contrat de liquidité
AF GRUPPEN,Presentation of the Q3 2024 report
Skagerrak Sparebank,Skagerrak Sparebank – delårsrapport for 3. kvartal 2024
Skagerrak Sparebank,Skagerrak Sparebank er tildelt en rating på A- med stabile utsikter fra Scope Ratings
HIMALAYA SHIPPING LTD,Himalaya Shipping Ltd. (HSHP) - Ex cash distribution US$0.04 today on Euronext
TOTALENERGIES,"TotalEnergies, bp, Equinor et Shell s’unissent pour contribuer à améliorer l'accès à l'énergie"
Tysnes Sparebank,Tysnes Sparebank regnskap for 3. kvartal 2024
VALERIO THERAPEUTICS,Réunion du Conseil d'administration de Valerio Therapeutics S.A. du 13 novembre 2024
Haugesund Sparebank,Haugesund Sparebank – Kvartalsrapport per Q3 2024
PARROT,PARROT: 2024 3rd quarter business
CLARANOVA,Claranova participera au salon Investir Day le 26 novembre au Carrousel du Louvre à Paris
S.D. STANDARD ETC PLC,SDSD – Ex. dividend NOK 0.20 today
TOTALENERGIES,"TotalEnergies, bp, Equinor and Shell Join Forces to Help Increase Access to Energy"
VALERIO THERAPEUTICS,"Meeting of the Board of Directors of Valerio Therapeutics S.A. on November 13, 2024"
BEERENBERG AS,Third Quarter Results 2024
PARROT,PARROT: ACTIVITÉ DU 3ème TRIMESTRE 2024
Sparebanken Sør,Sparebanken Sør: Information regarding first delivery of Eligible Bonus ECCs
Sparebanken Sør,Sparebanken Sør: Informasjon om første leveranse av bonusegenkapitalbevis
CLARANOVA,Claranova Will Be Present at the “Investir Day” Event on November 26 at the Carrousel du Louvre in Paris
BW Offshore Limited,BW Offshore: Dividend information
SOLSTAD OFFSHORE,Solstad Maritime Holding AS: Ex dividend today
ROBERTET,ROBERTET FAIT EVOLUER AVEC SUCCES SON ACTIONNARIAT POUR SOUTENIR SES AMBITIONS DE CROISSANCE A LONG TERME
SpareBank 1 Ringerike Hadeland,SpareBank 1 Ringerike Hadeland - Viderefordeling av egenkapitalbevis i spareprogram for ansatte
PANORO ENERGY,"Panoro Energy - Group Operations Update: Dussafu Production Reaches 40,000 bopd"
BIOFISH HOLDING AS,BIOFISH HOLDING AS Third quarter results
BW ENERGY LIMITED,Bw Energy: Third Quarter Results 2024
BW Offshore Limited,BW Offshore: Third quarter results 2024
VALLOUREC,Vallourec : Résultats du Troisième Trimestre 2024
SpareBank 1 Nordmøre,SpareBank 1 Nordmøre: Mulig tilbakekjøp av opptil 14.000 egne egenkapitalbevis
EXPLOSIFS PROD.CHI,Croissance confirmée à l'issue du 3ème trimestre 2024
Metacon AB,Bulletin from the Extraordinary General Meeting of Metacon AB (publ)
Novedo Holding AB,Nomination Committee for AGM 2025 appointed
PHM Group Holding Oyj,Correction: PHM Group Holding Oyj's Interim report January-September 2024
Qliro AB,Correction: Qliro AB publishes Interim Report for Q3 2024: Shift to growth - increased momentum +35% contracted annual volume growth
Pharma Equity Group A/S,Consolidated Interim report 1 January - 30 September 2024
AUGA group,"AUGA Group, AB Notification on Transaction of Person holding Management Position"
Moment Group AB,Interim report January-September 2024
Immunovia AB,Immunovia presents model-development study results at meeting of the Collaborative Group of the Americas—Inherited Gastrointestinal Cancers
Garo AB,Interim report January-September 2024
Crunchfish AB,Last day of trading in unit rights in Crunchfish
KN Energies,Correction: AB KN Energies financial information reporting dates in 2024
Klimator AB ,"Klimator AB (publ) - Interim report 3, 2024"
"",Anmodning om suspension for afdelinger under Investeringsforeningen BankInvest
Bavarian Nordic A/S,Bavarian Nordic Announces Interim Results for the First Nine Months of 2024
Bavarian Nordic A/S,Bavarian Nordic offentliggør delårsregnskab for de første ni måneder af 2024
Enefit Green,Enefit Green production data – October 2024
Enefit Green,Enefit Greeni tootmisandmed – oktoober 2024
"",Ilkka Oyj: Johdon liiketoimet
"",Ilkka Oyj: Johdon liiketoimet
Innofactor Plc,Innofactor Oyj: Johtohenkilöiden liiketoimet
Innofactor Plc,Innofactor Plc: Managers’ Transactions
WithSecure Corporation,WithSecure launches a new Employee Share Savings Plan period for 2025-2027
WithSecure Corporation,WithSecure käynnistää uuden henkilöstön osakesäästöohjelmakauden vuosille 2025-2027
Sampo Plc A,Sampo plc’s share buybacks 14 November 2024
Sampo Plc A,Sampo Oyj:n omien osakkeiden ostot 14.11.2024
Eolus Vind AB,Nomination Committee for Eolus Vind AB appointed
Novaturas,"Preliminary October results of Novaturas: 5% increase in revenue, continued growth in load factor"
Novaturas,"Preliminarūs „Novaturo“ spalio rezultatai: 5 proc. didesnės pajamos, toliau augantis lėktuvų užpildymas"
"",BW Offshore: Dividend information
"",BW Offshore: Third quarter results 2024
Karolinska Development AB ser.B,Karolinska Development's portfolio company SVF Vaccines appoints Dr Gaston Picchio as acting CEO
Aino Health AB,Aino Health AB (publ): interim report january-september 2024
Aino Health AB,Aino Health AB (publ): Delårsrapport januari-september 2024
Karolinska Development AB ser.B,Interim Report - January-September 2024
Karolinska Development AB ser.B,Delårsrapport för januari – september 2024
Nter Asset Management,"Data on OMX Baltic Benchmark Fund issued shares as of November 14, 2024"
M VEST WATER AS,M Vest Water: Invitation to Presentation of Third Quarter 2024 Report
SpareBank 1 Østfold Akershus,Korreksjon Spareprogram i egenkapitalbevis
MERIDIA RE IV SOCIMI,Quarterly Reporting Q3 2024
Coca-Cola Europacific Partners plc,Transfer to ESCC Category
CAVENDISH HYDROGEN ASA,Cavendish Hydrogen ASA: Notice of extraordinary general meeting
Chip Bidco AS 24/27 FRN FLOOR C,Quarterly report for Q3 2024
Norlandia Health & Care Group,NHC welcomes Linda Hofstad Helleland as member of the board of directors
Chip Bidco AS 24/27 FRN FLOOR C,Kvartalsrapport for Q3 2024
Sveriges Riksbank,RESULT OF RIKSBANK AUCTIONS GOVERNMENT BONDS
Finnvera Oyj,"Finnvera Group, Interim Management Statement 1 January-30 September 2024: Financing below the previous year's level, expectations cautiously positive - result for the period under review:  EUR 182 million"
Lehto Group Oyj,"Lehto Group Plc, inside information: Information about Lehto's energy construction business and the company's intention to apply for the transfer of share trading to the First North Growth Market"
Arctic Paper AB,Granting compensation to the Issuer's subsidiary based on the Act on the compensation system for energy-intensive sectors and subsectors
Diamyd Medical AB (publ),Conference on the future of Type 1 Diabetes screening organized as part of the ASSET partnership coordinated by Diamyd Medical
Irisity AB,Irisity Awarded 5th Year Renewal of Perimeter Security Contract in the UK
NORDEN,Notification of managers' and closely related parties' transactions with Dampskibsselskabet NORDEN A/S' shares in connection with share buy-back program
Nter Asset Management,"Data on OMX Baltic Benchmark Fund issued shares as of November 14, 2024"
Carlsberg A/S,Notification and public disclosure of transactions in Carlsberg A/S shares by persons discharging managerial responsibilities
Landsvirkjun,Results for the first nine months 
EQL Pharma AB,EQL Pharma's CBDO increases his holding in the company
"",RESULT OF RIKSBANK AUCTIONS GOVERNMENT BONDS
Nasdaq Tallinn,Listing of AS LHV Group Subordinated Bonds on Baltic Bond List
TIKEHAU CAPITAL,Tikehau Capital: Disclosure of Shares Repurchases from 08 November 2024 to 14 November 2024
TIKEHAU CAPITAL,Tikehau Capital : Déclaration des transactions sur actions propres réalisées du 08 novembre 2024 au 14 novembre 2024
DNB BANK ASA,Reminder: Invitation to DNB's Capital Markets Day - 19 November 2024
-,"Face au constat réitéré de la situation financière dégradée de la SOMAÏR, Orano demande à prioriser les salariés"
-,"Given SOMAÏR’s Deteriorating Financial Situation, Orano Asks That Employees Be the Priority"
SpareBank 1 Lom og Skjåk,SpareBank 1 Lom og Skjåk: Nytt obligasjonslån
HERMANA HOLDING ASA,Hermana Holding ASA: New share capital
AF GRUPPEN,Building apartments in Oslo
AF GRUPPEN,Bygger leiligheter på Nordstrand i Oslo
Avinor AS,Passasjertall Avinor uke 45 2024
Avinor AS,Passengers at Avinor airports week 45 2024
Icelandic Salmon AS,Icelandic Salmon - Invitation to presentation for the third quarter 2024 results
AstraZeneca PLC,Director/PDMR Shareholding
Qliro AB,Qliro signs agreement with enterprise merchants Cyberphoto
Netcompany Group A/S,Netcompany - Transactions in connection with share buyback programme
Netcompany Group A/S,Netcompany - Transactions in connection with share buyback programme
Konsolidator A/S,Konsolidator releases new app within Business Central
Icelandic Salmon AS,Icelandic Salmon - Invitation to presentation for the third quarter 2024 results
Pro Kapital Grupp,Pro Kapital Council approved Consolidated Interim Report for III Quarter and  Months of 2024 (Unaudited)
Linda Nektar,Dividend payment ex-date of AS Linda Nektar
EVERFUEL,THE UNREGULATED RECOMMENDED VOLUNTARY OFFER TO THE SHAREHOLDERS OF EVERFUEL A/S HAS BECOME UNCONDITIONAL - FARO BIDCO APS HAS BECOME THE MAJORITY SHAREHOLDER
Gjensidige Forsikring ASA,GJF: Granted approval from the FSA for windstorm risk model in Partial Internal Model
INIFY LABORATORIES AB,Inify Laboratories - kallelse till extra bolagsstämma 6 december 2024
AURORA EIENDOM AS,Aurora Eiendom AS – mandatory notification of trade
INIFY LABORATORIES AB,"Inify Laboratories - notice of Extraordinary General Meeting on December 6, 2024"
INIFY LABORATORIES AB,Inify Laboratories: Notice of Extraordinary General Meeting and proposed fully guaranteed equity issue with proceeds of SEK 150 million
