company,title,tickers,companies
Arco Vara,Arco Vara alustab kahe uue arendusprojekti ehitust,['ARCO'],['Arco Vara']
CLARANOVA,Claranova: PlanetArt Division Sale to GA Credit and Management Completed,['CLA'],['Claranova']
Arco Vara,Arco Vara launches construction of two new development projects,['ARCO'],['Arco Vara']
,Changes in the Management Board of Admirals Group AS,['AS'],['Admirals Group']
,Muudatused Admirals Group AS juhatuses,['AS'],['Admirals Group AS']
Suominen Oyj,Inside information: CEO of Suominen Corporation changes,[],['Suominen Corporation']
,BUYBACK OF RIKSBANK CERTIFICATES,[],[]
NEO Finance,NEO Finance Announces Appointment of New Head of Administration - Juozas Kaminskas,['NEO'],['NEO Finance']
Robus Group,Robus Group AS auditeeritud majandusaasta aruanne hilineb,[],[]
VOW,Vow ASA: Vow receives settlement for VGM shares and loan repayment,['VOW'],['Vow ASA']
SCANA,Scana ASA: Adjustment of loan agreement,['SCA'],['Scana ASA']
SCANA,Scana ASA: Justering av låneavtale,['SCANA'],['Scana ASA']
XXL,Frasers Group Plc Announces Compulsory Acquisition of Remaining Issued and Outstanding Shares in XXL ASA,"['FRAS', 'XXL']","['Frasers Group Plc', 'XXL ASA']"
"OK PROPERTIES I SOCIMI, S.A.",Minute of the Sole Shareholder - June 2025,[],[]
INMOSUPA,DIVIDEND PAYMENT 2025,[],[]
KMC PROPERTIES ASA,Shareholding disclosure - Nordnet AB (publ),['NORD'],['Nordnet AB']
PET SERVICE HOLDING N.V.,All agenda items unanimously approved at General Meeting,[],[]
HUDDLESTOCK FINTECH,Huddlestock - Sabine Merky appointed Chief Financial Officer,['HUDDLESTOCK'],['Huddlestock']
BOLIDEN AB,Inbjudan till presentation av Bolidens rapport Q2 2025,['BOL'],['Boliden AB']
Cidron Romanov Limited,Cidron Romanov Limited: Issuing of PIK Notes,[],[]
BOLIDEN AB,Invitation to presentation of Boliden's Q2 2025 report,['BOL'],['Boliden AB']
ARCELORMITTAL SA,ArcelorMittal publishes its 2024 Payments to governments in respect of extractive activities report,['MT'],['ArcelorMittal']
Kongsberg Gruppen ASA,Germany buys KONGSBERG’s Joint Strike Missiles,['KONGSBERG'],['KONGSBERG']
Kongsberg Gruppen ASA,Tyskland kjøper Joint Strike Missile fra KONGSBERG,['KOG'],['KONGSBERG']
Cidron Romanov Limited,Cidron Romanov Limited: Issuing of PIK Notes,[],[]
KITRON,Kitron styrker ordrebeholdningen med kontrakt på 11 millioner euro for produksjon av militære kommunikasjons produkter.,['KIT'],['Kitron']
KITRON,Kitron Strengthens Order Backlog with EUR 11 Million Contract for Defense Communication,['KIT'],['Kitron']
Senzime AB,BULLETIN from EXTRAORDINARY GENERAL MEETING in Senzime AB (publ),[],['Senzime AB']
OEM International AB,Share-related incentive scheme in OEM International AB (publ),['OEM'],['OEM International AB']
Neovici Holding AB,Neovici Holdings AGM Adjourned as Planned,['NEOVICI'],['Neovici Holdings']
Svedbergs Group AB,Change in the number of shares and votes in Svedbergs Group,[],['Svedbergs Group']
Matas A/S,Grant of Performance Share Units,[],[]
Administer Oyj,"Administer and Numera Palvelut sign an agreement on the acquisition of the financial, payroll and software business of Sarastia's municipal customers",[],"['Administer', 'Numera Palvelut', 'Sarastia']"
Nightingale Health Oyj,Nightingale Health's U.S. laboratory now open,[],['Nightingale Health']
KEYTO Group AB,KEYTO Group broadens its service offering in Sweden as Enspecta joins the group,['KEYTO'],['KEYTO Group']
NEO Finance,NEO Finance Announces Appointment of New Head of Administration - Juozas Kaminskas ,['NEO'],['NEO Finance']
Irisity AB,Bulletin from Annual General Meeting in Irisity AB (publ),['IRIS'],['Irisity AB']
Dynavox Group AB,Increase in number of votes in Dynavox Group,['DVAX'],['Dynavox Group']
Logistea AB,Increased number of shares and votes in Logistea,['LOGI'],['Logistea']
Boliden AB,Invitation to presentation of Boliden's Q2 2025 report,['BOL'],['Boliden AB']
Sveriges Riksbank,BUYBACK OF RIKSBANK CERTIFICATES,[],[]
,Vow ASA: Vow receives settlement for VGM shares and loan repayment,['VOW'],['Vow ASA']
Eco Baltia,"CORRECTION: Eco Baltia Group continues steady growth in Q1 2025, reaching €70.1 million in revenue",['ECOBAL'],['Eco Baltia Group']
APF Holdings,"Resolutions of the Annual General Meeting of Shareholders of JSC ""APF Holdings"" held on 30 June 2025",['APF'],['APF Holdings']
GOLDEN ENERGY OFFSHORE SERVICES ASA,Completion of Refinancing of Fleet,[],[]
BARINGS CORE SPAIN SOCIMI S.A.,MINUTES OF THE SOLE SHAREHOLDER: APPROVAL OF THE ANNUAL ACCOUNTS 2024,[],[]
LOTUS BAKERIES,Change of total number of voting rights,[],[]
ARVERNE GROUP,Arverne Group’s Geothermal Solution for Nursing Homes,[],[]
ARVERNE GROUP,La solution géothermale d’Arverne Group pour les EHPAD,[],['Arverne Group']
AIR LIQUIDE(L-),Air Liquide va investir jusqu\'à 200 millions de dollars américains en Louisiane pour accompagner la croissance industrielle,[],[]
AYVENS,Notification of MREL requirements,[],[]
ASM INTERNATIONAL N.V.,"ASM share buyback update June 23 – 27, 2025",['ASM'],['ASM']
EUROFINS SCIENTIFIC,Eurofins : Purchases of Own Shares From June 23rd to June 27th 2025,[],['Eurofins Scientific SE']
VINCI,Publication de la Toolbox VINCI Concessions,['VINCI'],['VINCI Concessions']
IMERYS,imerys-communiqué-30-juin-2025-rachat-d-actions-du-23-juin-au-27-juin-2025,[],[]
KONINKLIJKE KPN N.V.,KPN reports progress of € 250m share buyback,['KPN'],['KPN']
RES GESTAE SOCIMI S.A.,DIVIDEND 2025,[],[]
ODET(COMPAGNIE DE L-),Compagnie de l'Odet : Déclaration des transactions sur actions propres réalisées du 23 juin au 27 juin 2025,[],[]
FNAC DARTY,"Fnac Darty: Disclosure of trading in own shares, 23 to 27 June 2025 (in French only)",['FNAC'],['Fnac Darty']
FNAC DARTY,Fnac Darty : Déclaration des transactions sur actions propres du 23 au 27 juin 2025,['FNAC'],['Fnac Darty']
NEXANS,Nexans completes the sale of Lynxeo to Latour Capital,[],['Nexans']
NEXANS,Nexans finalise la cession de Lynxeo à Latour Capital,['NEX'],['Nexans']
CREDIT AGRICOLE,CREDIT AGRICOLE SA : REDUCTION DE MOYENS AU CONTRAT DE LIQUIDITE AVEC KEPLER CHEUVREUX,['ACA'],['Credit Agricole SA']
CREDIT AGRICOLE,Credit Agricole Sa: REDUCTION OF RESOURCES TO THE LIQUIDITY CONTRACT WITH KEPLER CHEUVREUX,['ACA'],['Credit Agricole SA']
VINCI,Publication of the Toolbox VINCI Concessions,"['DG', 'VINCI']",['Vinci SA']
AIR LIQUIDE(L-),"Air Liquide to invest up to 200M USD in Louisiana, U.S. to support industrial growth",['AI'],['Air Liquide']
BILENDI,BILENDI: Bilendi célèbre 20 ans de cotation en bourse. D’un pionnier français à un Groupe de dimension mondiale,['BILENDI'],['Bilendi']
BILENDI,BILENDI: Bilendi celebrates 20 years of stock market listing. From a French pioneer to a global Group,['BILENDI'],['Bilendi']
AGEAS,Ageas rapporteert over de inkoop van eigen aandelen,['AGS'],['Ageas']
AGEAS,Rapport d’Ageas sur le programme de rachat d’actions,['AGS'],['Ageas']
-,Ageas reports on the progress of share buy-back programme,['AGS'],['Ageas']
SHELL PLC,Director/PDMR Shareholding,[],[]
International Petroleum Corpor,International Petroleum Corporation Updated Share Capital,['IPC'],['International Petroleum Corporation']
PROSUS,Dealing by directors in securities,[],[]
GROUPIMO,RÉSULTATS DU SCRUTIN DE L'ASSEMBLÉE GÉNÉRALE 2025,[],[]
TECHSTEP,Grant of share options to primary insiders in Techstep ASA,[],['Techstep ASA']
Hawk Infinity Softw AS 23/28 FRN FLOOR C,Euronext Oslo Børs – Hawk Infinity Software AS - Mottatt søknad om notering av obligasjonslån,['ENXBOR'],['Euronext Oslo Børs']
Hawk Infinity Softw AS 23/28 FRN FLOOR C,Euronext Oslo Børs – Hawk Infinity Software AS - Received application for listing of bonds,['HAWK'],['Hawk Infinity Software AS']
Synsam AB,Synsam - Refinancing of loan facilities,['SYNSAM'],['Synsam']
Pihlajalinna Oyj,Pihlajalinna Plc: Acquisition of own shares on 30 June 2025,[],['Pihlajalinna Plc']
Securitas AB,Securitas signs new revolving credit facility agreement and a new loan agreement,[],['Securitas AB']
SynAct Pharma AB,Change in number of shares and votes in SynAct Pharma AB,['SYNAC'],['SynAct Pharma AB']
Netum Group Oyj,Netum Group Plc: Repurchase of own shares,['NETUM'],['Netum Group Plc']
Citycon Oyj,CITYCON OYJ: Share repurchase 30.6.2025,[],['CITYCON OYJ']
Eco Baltia,"CORRECTION: Eco Baltia Group continues steady growth in Q1 2025, reaching €70.1 million in revenue",['ECOBAL'],['Eco Baltia Group']
Lánamál ríkisins,Quarterly Government Debt Management Prospect,[],[]
Raute Oyj,Raute Corporation: SHARE REPURCHASE 30.6.2025,['RAUTE'],['Raute Corporation']
Mildef Group AB,Change of number of shares and votes in MilDef Group AB (publ),['MILDEF'],['MilDef Group AB']
Alma Media,Alma Media Corporation: Share repurchase 30.6.2025,[],['Alma Media Corporation']
Mineralys Therapeutics,Mineralys Therapeutics Announces Journal of the American Medical Association (JAMA) Publication of Pivotal Phase 3 Launch-HTN Trial for Lorundrostat,[],[]
Zealand Pharma A/S,"Total number of shares and voting rights in Zealand Pharma as of June 30, 2025",['ZEALAND'],['Zealand Pharma']
Siili Solutions Oyj,Siili Solutions Plc: Share Repurchase 30.6.2025,['SIILI'],['Siili Solutions Plc']
Siili Solutions Oyj,Siili Solutions Oyj: Omien osakkeiden hankinta 30.6.2025,['SIILI'],['Siili Solutions Oyj']
Sjóvá-Almennar tryggingar hf.,Sjóvá: Breytingar á viðskiptavakt,[],[]
,Quarterly Government Debt Management Prospect,[],[]
,Ársfjórðungsáætlun í lánamálum ríkissjóðs,[],[]
Sun Investment Group,Sun Investment Group  - Other information,[],[]
VANDOR REAL ESTATE SOCIMI S.A.U.,VANDOR REAL ESTATE SOCIMI - Approval of annual accounts 2024,[],[]
PATRIMOINE ET COMM,PATRIMOINE ET COMMERCE: Déclaration des transactions sur actions propres (Hors contrat de liquidité) réalisées du 23 JUIN 2025 au 27 JUIN 2025,[],[]
BANIJAY GROUP N.V.,Banijay Group: weekly share transactions,['BANJ'],['Banijay Group']
Acheter-Louer.fr,Acheter-louer.fr announces the acquisition of its first Solana (SOL) units,['SOL'],['Solana']
HOT.MAJESTIC CANNE,RAPPORT SEMESTRIEL AU 30 AVRIL 2025,[],[]
IPSOS,Ipsos renforce son Conseil d’administration,[],[]
IPSOS,Ipsos Strengthens Its Board of Directors,['IPS'],['Ipsos']
MARE NOSTRUM,MARE NOSTRUM : Approbation du projet de plan de continuation par les créanciers,[],[]
XXL,XXL ASA: Extraordinary general meeting held,['XXL'],['XXL ASA']
POXEL,Poxel annonce le report de son Assemblée Générale annuelle et fait le point sur sa situation,['POXEL'],['Poxel']
POXEL,Poxel Announces Postponement of its Annual General Meeting and Provides a Corporate Update,['POXEL'],['Poxel']
THERMADOR GROUPE,THERMADOR GROUPE : acquisition of C2AI company,[],['C2AI']
SHELL PLC,Voting Rights and Capital,[],[]
ALTRI SGPS,"Altri, SGPS, S.A. informs about Report and Accounts for the 1st Quarter of 2025",['ALTR'],"['Altri, SGPS, S.A.']"
ALTRI SGPS,"Altri, SGPS, S.A. informa sobre Relatório e Contas do 1.º Trimestre de 2025",['ALTR'],"['Altri, SGPS, S.A.']"
URBANIZADORA CONSTRUCTORA LEVA,Dividend Distribution - June 2025,[],[]
GRUPO WHITENI SOCIMI,2024 INDIVIDUAL ANNUAL ACCOUNTS GRUPO WHITENI,[],[]
GBL,GBL - Transactions on GBL shares 30-06-2025,['GBL'],['GBL']
REMY COINTREAU,Notification of Availability of Rémy Cointreau 2024-25 Universal Registration Document,['REMYY'],['Rémy Cointreau']
REMY COINTREAU,Notification de mise à disposition par Rémy Cointreau du Document d’Enregistrement Universel 2024-25,['RCO'],['Rémy Cointreau']
URBANIZADORA CONSTRUCTORA LEVA,General Shareholders' Meeting - June 2025,[],[]
CRCAM ALP.PROV.CCI,CRCAM Alpes Provence : déclarations_Hebdomadaires_CAAP_S26-2025,['CRCAM'],['Caisse Régionale de Crédit Agricole Mutuel Alpes Provence']
ALCHIMIE SA,Résultats de l’Assemblée générale du 27 juin 2025 L’assemblée générale des actionnaires a décidé la dissolution anticipée d’Alchimie,['ALCHIMIE'],['Alchimie']
CRCAM ALP.PROV.CCI,CRCAM Alpes Provence : déclarations_Hebdomadaires_CAAP_S25-2025,['CRCAM'],['Caisse Régionale de Crédit Agricole Mutuel Alpes Provence']
ALCHIMIE SA,"Results of the Shareholders’ General Meeting of June 27, 2025 The Shareholders General Meeting has decided on the early dissolution of Alchimie",['ALCHIMIE'],['Alchimie']
GBL,GBL - Transacties op GBL-aandelen 30-06-2024,['GBL'],['GBL']
GBL,GBL - Transactions sur actions propres 30-06-2024,['GBL'],['GBL']
EGIDE,EGIDE : Mise à disposition du rapport financier annuel 2024,['EGIDE'],['EGIDE']
EGIDE,Egide: Availability of the 2024 annual financial report,['EGIDE'],['Egide']
EUROPLASMA,EUROPLASMA: RÉDUCTION DE CAPITAL D’EUROPLASMA,['EPA'],['EUROPLASMA']
MERIDIA RE IV SOCIMI,Minutes of the decisions of the sole shareholder,[],[]
Humble Group AB,NEW NUMBER OF SHARES AND VOTES IN HUMBLE GROUP AB,['HUMBLE'],['Humble Group AB']
PREATONI GROUP,Mise à disposition du rapport annuel 2024 - Convocation de l'Assemblée Générale Mixte de PREATONI Group,['PREATONI'],['PREATONI Group']
OXURION,Oxurion Receives Transparency Notification from Atlas Special Opportunities II LLC,['OXUR'],['Oxurion NV']
UMICORE,Umicore upgrades guidance,['UMI'],['Umicore']
VINCI,Report on payments made during fiscal year 2024 by VINCI group subsidiaries to public authorities for their extractive activities,['VINCI'],['VINCI Group']
RAMADA INVESTIMENTOS E INDUSTRIA S.A.,"Ramada Investimentos e Indústria, S.A. informs on Financial Statements for the 1st Quarter of 2025",[],[]
TME PHARMA,TME Pharma annonce son projet de déployer une nouvelle politique d'investissement des ressources de trésorerie au service de la mission du groupe,[],[]
OSMOSUN S.A.,OSMOSUN General Meeting: Approval of business combination with UNIBIOS,['UNIBIOS'],['UNIBIOS']
NORDIC FINANCIALS ASA,Nordic Financials ASA – Preliminary results in the rights issue,['NORDIC'],['Nordic Financials ASA']
UMICORE,Umicore revoit ses prévisions à la hausse,['UMI'],['Umicore']
EQUASENS,EQUASENS : ACQUISITION DES ACTIVITES DIS ET RESURGENCES,['EQUASENS'],['EQUASENS']
TOTALENERGIES,TotalEnergies SE: Disclosure of Transactions in Own Shares,['TTE'],['TotalEnergies SE']
VINCI,Rapport sur les paiements effectués au cours de l’exercice 2024 par les filiales du groupe VINCI en faveur des autorités publiques au titre de leurs activités extractives,"['DG', 'VINCI']","['Dollar General Corporation', 'VINCI']"
AVANTIUM,RecyClass Validates Avantium’s PET/PEF Bottle as Fully Recyclable in PET Stream,['AVTX'],['Avantium NV']
EQUASENS,Equasens: acquisition of DIS and RESURGENCES BUSINESSES,['DIS'],['Walt Disney Company']
SIBS AB (publ),SIBS announces implementation of share issues of app. SEK 550 million and deferred interest on its senior bonds,['SIBS'],['SIBS']
Novonesis (Novozymes A/S),Transactions under Novonesis' share buyback program,['NOVONESIS'],['Novonesis']
Royal Bank of Canada,Publication of a Prospectus,[],[]
Chordate Medical Holding AB,Notice of Extraordinary General Meeting of Chordate Medical Holding AB (publ),['CHM'],['Chordate Medical Holding AB']
Chordate Medical Holding AB,Chordate decides on a conditional directed new issue of Preference Shares of approximately SEK 2.55 million,['SEK'],['Chordate']
Kvika banki hf.,Kvika banki hf.: Transaction in relation to a share buy-back programme ,['KVIKA'],['Kvika banki hf.']
Sun Investment Group,Sun Investment Group  - Other information,[],[]
Kvika banki hf.,Kvika banki hf.: Transaction in relation to a share buy-back programme,['KVIKA'],['Kvika banki hf.']
Kvika banki hf.,Kvika banki hf.: Reglubundin tilkynning um kaup á eigin bréfum í samræmi við endurkaupaáætlun,['KVKA'],['Kvika banki hf.']
EDDA WIND ASA,Final results of the Mandatory Offer to acquire all outstanding shares in Edda Wind ASA,['EDDA'],['Edda Wind ASA']
STRADIM,Stradim PV AG du 19 juin 2025,[],[]
AROCA DEL PINAR,"AROCA DEL PINAR SOCIMI, S.A. - Approval minutes FY2024",['ARO'],"['AROCA DEL PINAR SOCIMI, S.A.']"
Waldorf Energy Finance PLC,Corporate and Financial Update,[],[]
GENEURO,GeNeuro Announces Approval of All Resolutions Proposed at Extraordinary General Meeting,['GNRO'],['GeNeuro']
GENEURO,Les actionnaires de GeNeuro approuvent l’ensemble des résolutions proposées à l’Assemblée Générale Extraordinaire,['GNRO'],['GeNeuro']
CLARANOVA,Claranova : Cession de la division PlanetArt à GA Credit et à la Direction finalisée,['CLA'],['Claranova']
CIBOX INTER A CTIV,Assemblée Générale 30 juin 2025,[],[]
FERM.CASINO MUNICIPAL CANNES,RAPPORT SEMESTRIEL AU 30 AVRIL 2025,[],[]
Íslandsbanki hf.,Íslandsbanki hf.: FSA's annual assessment of Íslandsbanki's capital requirements,['ISB'],['Íslandsbanki hf.']
Ress Life Investments A/S,Ress Life Investments A/S publishes Net Asset Value (NAV).,['RESS'],['Ress Life Investments A/S']
Íslandsbanki hf.,Results of the Shareholder Meeting of Íslandsbanki hf. on 30 June 2025,['ISBANK'],['Íslandsbanki hf.']
Ress Life Investments A/S,Ress Life Investments A/S publishes Net Asset Value (NAV).,['RESS'],['Ress Life Investments A/S']
,Ríkisreikningur 2024: Sterk staða hagkerfisins og merki um batnandi afkomu,[],[]
Nordea Bank Abp,Nordea Bank Abp: Repurchase of own shares on 30.06.2025,[],['Nordea Bank Abp']
BONYF,Annual Results 2024,[],[]
-,Annule et remplace : LDC : Modalités de mise à disposition du rapport annuel 2024-2025,['LDC'],['LDC']
Nordea Bank Abp,Nordea Bank Abp: Repurchase of own shares on 30.06.2025,[],['Nordea Bank Abp']
KEYTO Group AB,Resolutions by the General Meeting of KEYTO Group AB,['KEYTO'],['KEYTO Group AB']
Cinis Fertilizer AB,"Cinis delivers an additional 4,600 tons of potassium sulfate",['CINIS'],['Cinis']
Amaroq Minerals Ltd.,Holding(s) in Company,[],[]
Acheter-Louer.fr,ASSEMBLEE GENERALE MIXTE DU 30 JUIN 2025 COMPTE RENDU ET RESULTATS DES VOTES,[],[]
Punktid Technologies,Punktid Technologies AS announces postponement of audited annual report,['PUNKTID'],['Punktid Technologies AS']
EUROPLASMA,EUROPLASMA: Démenti à la suite de fausses informations publiées par le site Boursier.com,['EUROPLASMA'],['EUROPLASMA']
BERGENBIO,BerGenBio ASA - Key information related to the rights issue,['BGBIO'],['BerGenBio ASA']
BIOPHYTIS,Information sur les comptes annuels,[],[]
BIOPHYTIS,Information on the Annual Financial Statements,[],[]
ST DUPONT,S.T.DUPONT : Communiqué de Presse : Résultats annuels consolidés au 31 mars 2025,['STD'],['S.T.DUPONT']
ONCOINVENT ASA,Announcement of fully underwritten rights issue,[],[]
BERGENBIO,Announcement of fully underwritten rights issue,[],[]
ONCOINVENT ASA,"BerGenBio and Oncoinvent, a rising innovator in radiopharmaceutical cancer therapies, announce proposed merger and a fully underwritten rights issue","['BGBIO', 'ONCO']","['BerGenBio', 'Oncoinvent']"
BERGENBIO,"BerGenBio and Oncoinvent, a rising innovator in radiopharmaceutical cancer therapies, announce proposed merger and a fully underwritten rights issue","['BGBIO', 'ONCO']","['BerGenBio', 'Oncoinvent']"
Hofseth Internation AS 25/30 FRN FLOOR C,Hofseth International - Årsrapport 2024,[],[]
Punktid Technologies,Punktid Technologies AS announces postponement of audited annual report,['PUNKTID'],['Punktid Technologies AS']
INmune Bio,"INmune Bio, Inc. Announces Closing of Approximately $19 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules",['INMB'],"['INmune Bio, Inc.']"
Kaldalón hf.,Kaldalón hf.: Implementation of Share Buyback Program,['KALD'],['Kaldalón hf.']
Lundin Gold Inc.,LUNDIN GOLD SHARE CAPITAL AND VOTING RIGHTS UPDATE,['LUG'],['Lundin Gold Inc']
Meren Energy Inc.,MEREN ANNOUNCES BOARD CHANGES AND SHARE CAPITAL UPDATE,['MEREN'],['Meren']
Kaldalón hf.,Kaldalón hf.: Implementation of Share Buyback Program,['KALD'],['Kaldalón hf.']
Kaldalón hf.,Kaldalón hf.: Tilkynning um framkvæmd endurkaupaáætlunar,[],[]
KKO INTERNATIONAL,Approbation des résolutions par l’Assemblée Générale I Renforcement de la gouvernance,[],[]
Lundin Mining Corporation,"Lundin Mining Announces Updated Share Capital, Provides Update on Share Buybacks and Announces Filing of ESTMA Report and Modern Slavery Report",['LUN'],['Lundin Mining Corporation']
TalkPool AG,"Talkpool's Inaugural Share Options Program Successfully ""In the Money""",['TALK'],['Talkpool']
RAPID NUTRITION,Rapid Nutrition Provides Half-Year 2025 Update,['RAP'],['Rapid Nutrition']
RAPID NUTRITION,Rapid Nutrition publie sa mise à jour semestrielle 2025,[],[]
BARCO,Update Share Buyback Program,[],[]
AKER BP,Investeringsbeslutning for Johan Sverdrup fase 3,[],[]
AKER BP,Johan Sverdrup Phase 3 investment decision,[],[]
SELVAAG BOLIG,Selvaag Bolig ASA: Q2 2025: Solgte boliger for over 2 milliarder kroner første halvår,['SBO'],['Selvaag Bolig ASA']
LIFECARE ASA,Lifecare advances electromagnetic compatibility compliance testing for CGM implant,[],[]
SELVAAG BOLIG,Selvaag Bolig ASA: Q2 2025: Sold homes worth more than NOK 2 billion in the first half year,['SBO'],['Selvaag Bolig ASA']
Public Property Invest ASA,Ex. dividend NOK 0.10 today,['NOK'],['Nokia Corporation']
RENAULT,Évolution du traitement comptable de la participation de Renault Group dans Nissan,"['RNO', 'NSANY']","['Renault Group', 'Nissan']"
DSM FIRMENICH AG,Weekly progress on share repurchase program to cover share plans and reduce capital,[],[]
DSM FIRMENICH AG,dsm-firmenich announces redemption of €750 million hybrid bond,['DSM'],['DSM-Firmenich']
SODEXO,Sodexo Q3 Fiscal 2025 revenues in line with expectations,"['SW', 'SODEXO']",['Sodexo']
RENAULT,Evolution of the accounting treatment of Renault Group's stake in Nissan,['RNO'],['Renault Group']
SODEXO,Sodexo : Chiffre d’affaires du 3e trimestre de l’exercice 2025 en ligne avec les attentes,"['SW', 'SODEXO']",['Sodexo']
NORDEN,Notification of managers' and closely related parties' transactions with Dampskibsselskabet NORDEN A/S' shares in connection with share buy-back program,['NORDEN'],['Dampskibsselskabet NORDEN A/S']
Mycronic AB,Pattern Generators makes acquisition in South Korea,['PG'],['Pattern Generators']
Nasdaq Tallinn,Nasdaq Welcomes Summus Capital to Baltic Bond List,['NDAQ'],['Nasdaq Inc']
Mutares SE & CO KGaA,Mutares SE & Co. KGaA: Portfolio company Locapharm (former Alcura France) has completed the divestment of its care services activity in mainland France,[],"['Mutares SE & Co. KGaA', 'Locapharm (former Alcura France)']"
ONWARD MEDICAL,ONWARD Medical Files 510(k) with US FDA for ARC-EX System Home Use and Submits CE Mark Application,['ONW'],['ONWARD Medical']
CROSSJECT,CROSSJECT annonce la cessation et la mise en œuvre d’un nouveau contrat de liquidité,[],[]
SENSORION,Sensorion Announces Preliminary Positive Data from the First Cohort of the Audiogene Phase 1/2 Gene Therapy Clinical Trial,['SENS'],['Sensorion']
TITAN S.A.,Announcement of intention to acquire own shares,[],[]
AALBERTS N.V.,Aalberts reports the progress of its share buyback programme 23 June – 27 June 2025,['AALB'],['Aalberts']
SENSORION,Sensorion annonce des données préliminaires positives de la première cohorte de l'essai clinique de Phase 1/2 de thérapie génique Audiogene,[],[]
Netcompany Group A/S,Completion of the combination between Netcompany Banking Services and SDC and update on financial guidance,['SDC'],['SDC']
Digital Workforce Services Oyj,Digital Workforce Services Oyj: SHARE REPURCHASE 30.6.2025,['DWS'],['Digital Workforce Services Oyj']
Skanska AB,"Skanska builds bypass in Wroclaw, Poland for PLN 214M, about SEK 560M",[],['Skanska AB']
Scandic Hotels Group AB,Invitation: Presentation of Scandic's half-year report 2025,['SCANDIC'],['Scandic']
Husqvarna AB,Husqvarna Group Named One of the World's Most Sustainable Companies by TIME and Statista,[],['Husqvarna Group']
SSH Communications Security Oyj,"SSH Communications Security announces intention to enter into strategic partnership with Leonardo, backed by an EUR 20 million share issue to Leonardo","['SSH', 'LEONARDO']","['SSH Communications Security', 'Leonardo']"
TITAN S.A.,Programme de rachats d'actions,[],[]
Lemonsoft Oyj,Lemonsoft Oyj: SHARE REPURCHASE 30.6.2025,['LEMON'],['Lemonsoft Oyj']
SSH Communications Security Oyj,INVITATION TO AN SSH COMMUNICATIONS SECURITY CORPORATION INVESTOR CALL,['SSH'],['SSH Communications Security Corporation']
W5 Solutions AB,The board of directors of W5 Solutions AB (publ) has today resolved on a directed issue of shares corresponding to no more than approximately SEK 103.9 million,[],['W5 Solutions AB']
Netcompany Group A/S,Completion of the combination between Netcompany Banking Services and SDC and update on financial guidance,['SDC'],['SDC']
,Ignitis Group made final investment decisions on 291 MW BESS projects in Lithuania,['IGNR'],['Ignitis Group']
